date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:02:57	453/453	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Oct%202018%2008:20:52%20GMT	http://event-theme.com/robots.txt		(from )
00:03:05	75527/75527	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2011:02:58%20GMT	http://event-theme.com/themes/gocourierwp/	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/index.html	(from )
00:03:07	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Mon,%2012%20Nov%202018%2011:03:06%20GMT	http://event-theme.com/themes/gocourierwp/xmlrpc.php	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/xmlrpc.php	(from http://event-theme.com/themes/gocourierwp/)
00:03:08	1683/1683	---MCZ	200	added ('OK')	text/css	date:Tue,%2026%20Jun%202018%2009:56:28%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.2	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/plugins/contact-form-7/includes/css/stylesce52.css	(from http://event-theme.com/themes/gocourierwp/)
00:03:10	1315/1315	---MCZ	200	added ('OK')	text/css	date:Wed,%2007%20Feb%202018%2014:13:29%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/plugins/siteorigin-panels/css/front-flex.css?ver=2.6.2	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/plugins/siteorigin-panels/css/front-flex61da.css	(from http://event-theme.com/themes/gocourierwp/)
00:03:11	16542/16542	---MCZ	200	added ('OK')	text/css	date:Wed,%2007%20Feb%202018%2014:13:35%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=3.3.1	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/plugins/woocommerce/assets/css/woocommerce-layout3d36.css	(from http://event-theme.com/themes/gocourierwp/)
00:03:12	6758/6758	---MCZ	200	added ('OK')	text/css	date:Wed,%2007%20Feb%202018%2014:13:35%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=3.3.1	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen3d36.css	(from http://event-theme.com/themes/gocourierwp/)
00:03:14	61231/61231	---MCZ	200	added ('OK')	text/css	date:Wed,%2007%20Feb%202018%2014:13:35%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.3.1	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/plugins/woocommerce/assets/css/woocommerce3d36.css	(from http://event-theme.com/themes/gocourierwp/)
00:03:15	9152/9152	---MCZ	200	added ('OK')	text/css	date:Wed,%2007%20Feb%202018%2014:13:53%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/plugins/yith-woocommerce-order-tracking/assets/css/ywot_style.css?ver=4.9.8	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/plugins/yith-woocommerce-order-tracking/assets/css/ywot_style5010.css	(from http://event-theme.com/themes/gocourierwp/)
00:03:18	199226/199226	---MCZ	200	added ('OK')	text/css	date:Fri,%2001%20Dec%202017%2015:15:59%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/themes/gocourier/css/bootstrap.css	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/themes/gocourier/css/bootstrap.css	(from http://event-theme.com/themes/gocourierwp/)
00:03:19	23811/23811	---MCZ	200	added ('OK')	text/css	date:Fri,%2001%20Dec%202017%2015:16:02%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/themes/gocourier/css/font-awesome.min.css	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/themes/gocourier/css/font-awesome.min.css	(from http://event-theme.com/themes/gocourierwp/)
00:03:20	7067/7067	---MCZ	200	added ('OK')	text/css	date:Fri,%2001%20Dec%202017%2015:16:02%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/themes/gocourier/css/et-line.css	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/themes/gocourier/css/et-line.css	(from http://event-theme.com/themes/gocourierwp/)
00:03:20	6333/6333	---MCZ	200	added ('OK')	text/css	date:Fri,%2001%20Dec%202017%2015:16:00%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/themes/gocourier/css/carousel.css	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/themes/gocourier/css/carousel.css	(from http://event-theme.com/themes/gocourierwp/)
00:03:21	72259/72259	---MCZ	200	added ('OK')	text/css	date:Fri,%2001%20Dec%202017%2015:15:59%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/themes/gocourier/css/animate.css	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/themes/gocourier/css/animate.css	(from http://event-theme.com/themes/gocourierwp/)
00:03:22	5372/5372	---MCZ	200	added ('OK')	text/css	date:Fri,%2001%20Dec%202017%2015:16:03%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/themes/gocourier/css/slimmenu.css	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/themes/gocourier/css/slimmenu.css	(from http://event-theme.com/themes/gocourierwp/)
00:03:23	82235/82235	---MCZ	200	added ('OK')	text/css	date:Fri,%2001%20Dec%202017%2015:16:04%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/themes/gocourier/css/styles.css	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/themes/gocourier/css/styles.css	(from http://event-theme.com/themes/gocourierwp/)
00:03:25	726/726	---MCZ	200	added ('OK')	text/css	date:Fri,%2001%20Dec%202017%2015:15:44%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/themes/gocourier/style.css?ver=4.9.8	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/themes/gocourier/style5010.css	(from http://event-theme.com/themes/gocourierwp/)
00:03:26	3195/3195	---MCZ	200	added ('OK')	text/css	date:Fri,%2001%20Dec%202017%2015:16:03%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/themes/gocourier/css/responsive.css	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/themes/gocourier/css/responsive.css	(from http://event-theme.com/themes/gocourierwp/)
00:03:26	117/117	---MCZ	200	added ('OK')	text/css	date:Fri,%2001%20Dec%202017%2015:16:01%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/themes/gocourier/css/custom_style.css?ver=4.9.8	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/themes/gocourier/css/custom_style5010.css	(from http://event-theme.com/themes/gocourierwp/)
00:03:27	10551/10551	---MC-	200	added ('OK')	application/rss+xml	etag:%22be3cb802e9120f096c9520f2a1ae179b%22	http://event-theme.com/themes/gocourierwp/feed/	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/feed/index.html	(from http://event-theme.com/themes/gocourierwp/)
00:03:30	7316/7316	---MC-	200	added ('OK')	application/rss+xml	etag:%222ad86fd320ed9808c3edae24bff61db8%22	http://event-theme.com/themes/gocourierwp/comments/feed/	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/comments/feed/index.html	(from http://event-theme.com/themes/gocourierwp/)
00:03:33	33473/33473	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Nov%202018%2011:03:27%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/themes/gocourier/css/custom_style_banner.css?ver=4.9.8	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/themes/gocourier/css/custom_style_banner5010.css	(from http://event-theme.com/themes/gocourierwp/)
00:03:35	97184/97184	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2023%20May%202016%2009:00:29%20GMT	http://event-theme.com/themes/gocourierwp/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-includes/js/jquery/jqueryb8ff.js	(from http://event-theme.com/themes/gocourierwp/)
00:03:36	10056/10056	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2020%20May%202016%2006:11:28%20GMT	http://event-theme.com/themes/gocourierwp/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://event-theme.com/themes/gocourierwp/)
00:03:37	1338/1338	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2001%20Dec%202017%2015:16:35%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/themes/gocourier/js/ajax-login-script.js?ver=4.9.8	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/themes/gocourier/js/ajax-login-script5010.js	(from http://event-theme.com/themes/gocourierwp/)
00:03:38	17524/17524	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2007%20Feb%202018%2014:13:53%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/plugins/yith-woocommerce-order-tracking/assets/js/jquery.tooltipster.min.js?ver=4.9.8	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/plugins/yith-woocommerce-order-tracking/assets/js/jquery.tooltipster.min5010.js	(from http://event-theme.com/themes/gocourierwp/)
00:03:38	438/438	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2007%20Feb%202018%2014:13:53%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/plugins/yith-woocommerce-order-tracking/assets/js/ywot.js?ver=4.9.8	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/plugins/yith-woocommerce-order-tracking/assets/js/ywot5010.js	(from http://event-theme.com/themes/gocourierwp/)
00:03:38	0/0	---M--	200	added ('OK')	application/javascript	date:Fri,%2001%20Dec%202017%2015:16:37%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/themes/gocourier/js/custom_script.js?ver=1.0	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/themes/gocourier/js/custom_script5152.js	(from http://event-theme.com/themes/gocourierwp/)
00:03:41	938/938	---MCZ	200	added ('OK')	text/xml	date:Mon,%2012%20Nov%202018%2011:03:40%20GMT	http://event-theme.com/themes/gocourierwp/xmlrpc.php?rsd	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/xmlrpc0db0.php	(from http://event-theme.com/themes/gocourierwp/)
00:03:42	1045/1045	---M--	200	added ('OK')	application/xml	date:Wed,%2011%20Dec%202013%2019:49:11%20GMT	http://event-theme.com/themes/gocourierwp/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-includes/wlwmanifest.xml	(from http://event-theme.com/themes/gocourierwp/)
00:03:44	2250/2250	---MC-	200	added ('OK')	application/json	date:Mon,%2012%20Nov%202018%2011:03:44%20GMT	http://event-theme.com/themes/gocourierwp/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fevent-theme.com%2Fthemes%2Fgocourierwp%2F	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-json/oembed/1.0/embedab70.json	(from http://event-theme.com/themes/gocourierwp/)
00:03:46	2341/2341	---MCZ	200	added ('OK')	text/xml	date:Mon,%2012%20Nov%202018%2011:03:46%20GMT	http://event-theme.com/themes/gocourierwp/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fevent-theme.com%2Fthemes%2Fgocourierwp%2F&format=xml	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-json/oembed/1.0/embed11ff	(from http://event-theme.com/themes/gocourierwp/)
00:03:48	3166/3166	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Feb%202017%2007:32:12%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/uploads/2016/05/cropped-cropped-logo-2-150x150.jpg	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/uploads/2016/05/cropped-cropped-logo-2-150x150.jpg	(from http://event-theme.com/themes/gocourierwp/)
00:03:50	4033/4033	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Feb%202017%2007:32:13%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/uploads/2016/05/cropped-cropped-logo-2-180x180.jpg	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/uploads/2016/05/cropped-cropped-logo-2-180x180.jpg	(from http://event-theme.com/themes/gocourierwp/)
00:03:50	7052/7052	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Feb%202017%2007:32:13%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/uploads/2016/05/cropped-cropped-logo-2-300x300.jpg	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/uploads/2016/05/cropped-cropped-logo-2-300x300.jpg	(from http://event-theme.com/themes/gocourierwp/)
00:03:52	3462/3462	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Dec%202017%2015:16:22%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/themes/gocourier/images/logo.png	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/themes/gocourier/images/logo.png	(from http://event-theme.com/themes/gocourierwp/)
00:04:00	42871/42871	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2011:03:51%20GMT	http://event-theme.com/themes/gocourierwp/my-account/lost-password/	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/my-account/lost-password/index.html	(from http://event-theme.com/themes/gocourierwp/)
00:04:02	3501/3501	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Feb%202017%2007:33:39%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/uploads/2016/05/icon-1.png	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/uploads/2016/05/icon-1.png	(from http://event-theme.com/themes/gocourierwp/)
00:04:03	43249/43249	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2011:03:53%20GMT	http://event-theme.com/themes/gocourierwp/my-account/	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/my-account/index.html	(from http://event-theme.com/themes/gocourierwp/)
00:04:04	2109/2109	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Feb%202017%2007:33:39%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/uploads/2016/05/icon-2.png	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/uploads/2016/05/icon-2.png	(from http://event-theme.com/themes/gocourierwp/)
00:04:06	331298/331298	---MC-	200	added ('OK')	application/json	date:Mon,%2012%20Nov%202018%2011:03:41%20GMT	http://event-theme.com/themes/gocourierwp/wp-json/	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-json/index.html	(from http://event-theme.com/themes/gocourierwp/)
00:04:07	1697/1697	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Feb%202017%2007:33:39%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/uploads/2016/05/icon-3.png	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/uploads/2016/05/icon-3.png	(from http://event-theme.com/themes/gocourierwp/)
00:04:13	78714/78714	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2011:04:03%20GMT	http://event-theme.com/themes/gocourierwp/home-2/	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/home-2/index.html	(from http://event-theme.com/themes/gocourierwp/)
00:04:14	40633/40633	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2011:04:06%20GMT	http://event-theme.com/themes/gocourierwp/about-us/	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/about-us/index.html	(from http://event-theme.com/themes/gocourierwp/)
00:04:14	2139/2139	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Feb%202017%2007:33:40%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/uploads/2016/05/icon-4.png	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/uploads/2016/05/icon-4.png	(from http://event-theme.com/themes/gocourierwp/)
00:04:18	34610/34610	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2011:04:08%20GMT	http://event-theme.com/themes/gocourierwp/order-tracking/	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/order-tracking/index.html	(from http://event-theme.com/themes/gocourierwp/)
00:04:37	195037/195037	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Feb%202017%2007:33:40%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/uploads/2016/05/about-img.png	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/uploads/2016/05/about-img.png	(from http://event-theme.com/themes/gocourierwp/)
00:04:39	51637/51637	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2011:04:15%20GMT	http://event-theme.com/themes/gocourierwp/pricing-plan/	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/pricing-plan/index.html	(from http://event-theme.com/themes/gocourierwp/)
00:04:41	39815/39815	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2011:04:17%20GMT	http://event-theme.com/themes/gocourierwp/contact-us/	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/contact-us/index.html	(from http://event-theme.com/themes/gocourierwp/)
00:04:44	779116/779116	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Feb%202017%2007:32:20%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/uploads/2016/05/Managing-Cities-with-Urban-Computing-2.jpg	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/uploads/2016/05/Managing-Cities-with-Urban-Computing-2.jpg	(from http://event-theme.com/themes/gocourierwp/)
00:04:55	108183/108183	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Feb%202017%2007:33:41%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/uploads/2016/05/step-img.png	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/uploads/2016/05/step-img.png	(from http://event-theme.com/themes/gocourierwp/)
00:04:59	29842/29842	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Feb%202017%2007:32:44%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/uploads/2016/05/testi1-2.jpg	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/uploads/2016/05/testi1-2.jpg	(from http://event-theme.com/themes/gocourierwp/)
